inep,status,tempo,nome_escola,uf_escola,dependencia_escola,estudantes_escola,estudantes_escola_maior_turno,vel_adequada,status_medidor,vel_download,vel_upload,latencia,jitter,perda_pacote,nro_medicoes,medicoes_escola,max_95_down,provedoresSIMET_regiao,provedor_do_estabelecimento
15180476,sucesso,7.57,Escola Centro De Educacao Profissional Conceicao Do Araguaia,Município: Conceição Do Araguaia - Para,Gestão: Estadual,Número de estudantes: 88 (Censo 2025),Número de estudantes no maior turno: 88 (Censo 2025),Velocidade adequada: 88Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180468,sucesso,6.32,Escola Centro De Educacao Profissional De Salinopolis,Município: Salinópolis - Para,Gestão: Estadual,Número de estudantes: 86 (Censo 2025),Número de estudantes no maior turno: 86 (Censo 2025),Velocidade adequada: 86Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180450,sucesso,6.89,Escola Centro De Educacao Profissional De Stª Mª Do Para,Município: Santa Maria Do Pará - Para,Gestão: Estadual,Número de estudantes: 175 (Censo 2025),Número de estudantes no maior turno: 175 (Censo 2025),Velocidade adequada: 175Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180441,sucesso,12.40,Escola Centro De Educacao Profissional De Obidos,Município: Óbidos - Para,Gestão: Estadual,Número de estudantes: 239 (Censo 2025),Número de estudantes no maior turno: 239 (Censo 2025),Velocidade adequada: 239Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180433,sucesso,13.19,Escola Centro De Educacao Profissional De Capanema,Município: Capanema - Para,Gestão: Estadual,Número de estudantes: 510 (Censo 2025),Número de estudantes no maior turno: 510 (Censo 2025),Velocidade adequada: 510Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180425,sucesso,15.18,Escola Centro De Educacao Profissional De Abaetetuba,Município: Abaetetuba - Para,Gestão: Estadual,Número de estudantes: 662 (Censo 2025),Número de estudantes no maior turno: 662 (Censo 2025),Velocidade adequada: 662Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15179982,sucesso,18.06,Escola Centro De Atendimento Educacional Especializado De Icoaraci,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 0 (Censo 2025),Número de estudantes no maior turno: NA (Censo 2025),Velocidade adequada: NAMbit/s,Medidor ativo,"513,4","271,6","17,1","0,1","0,1",606,NA,-,"V Tal, Phxnet Provedor De Internet",Phxnet Provedor De Internet
15179800,sucesso,20.41,Escola Escola Estadual Indigena Kwynkaprekre Kuwekatiti,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 17 (Censo 2025),Número de estudantes no maior turno: 10 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"95,2","99,3","23,2","0,2","0,2",552,NA,-,"Aranet Play, J C G Silva Informatica Eireli",J C G Silva Informatica Eireli
15179796,sucesso,8.79,Escola Escola Estadual Indigena Kruaputitire,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 36 (Censo 2025),Número de estudantes no maior turno: 17 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor ativo,"92,8","99,6","23,4","0,2","0,1",442,NA,-,"Aranet Play, J C G Silva Informatica Eireli",
15179710,sucesso,7.38,Escola Anexo Ee Prof Benvinda De Araujo Pontes - Ajuai,Município: Abaetetuba - Para,Gestão: Estadual,Número de estudantes: 211 (Censo 2025),Número de estudantes no maior turno: 116 (Censo 2025),Velocidade adequada: 116Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Aranet Play, J C G Silva Informatica Eireli",
